State,2013,2014,2015,2016,2017,2018,2019,2020,2020 Factors
Alabama,4799277 (nan%),4817678 (0.00383%),4830620 (0.00269%),4841164 (0.00218%),4850771 (0.00198%),4864680 (0.00287%),4876250 (0.00238%),4893186 (0.00347%),2;3;41;19891
Alaska,720316 (nan%),728300 (0.01108%),733375 (0.00697%),736855 (0.00475%),738565 (0.00232%),738516 (-7e-05%),737068 (-0.00196%),736990 (-0.00011%),2;5;73699
Arizona,6479703 (nan%),6561516 (0.01263%),6641928 (0.01226%),6728577 (0.01305%),6809946 (0.01209%),6946685 (0.02008%),7050299 (0.01492%),7174064 (0.01755%),2;2;2;2;448379
Arkansas,2933369 (nan%),2947036 (0.00466%),2958208 (0.00379%),2968472 (0.00347%),2977944 (0.00319%),2990671 (0.00427%),2999370 (0.00291%),3011873 (0.00417%),17;23;7703
California,37659181 (nan%),38066920 (0.01083%),38421464 (0.00931%),38654206 (0.00606%),38982847 (0.0085%),39148760 (0.00426%),39283497 (0.00344%),39346023 (0.00159%),3;587;22343
Colorado,5119329 (nan%),5197580 (0.01529%),5278906 (0.01565%),5359295 (0.01523%),5436519 (0.01441%),5531141 (0.0174%),5610349 (0.01432%),5684926 (0.01329%),2;13;218651
Connecticut,3583561 (nan%),3592053 (0.00237%),3593222 (0.00033%),3588570 (-0.00129%),3594478 (0.00165%),3581504 (-0.00361%),3575074 (-0.0018%),3570549 (-0.00127%),3;31;38393
Delaware,908446 (nan%),917060 (0.00948%),926454 (0.01024%),934695 (0.0089%),943732 (0.00967%),949495 (0.00611%),957248 (0.00817%),967679 (0.0109%),23;42073
District of Columbia,619371 (nan%),633736 (0.02319%),647484 (0.02169%),659009 (0.0178%),672391 (0.02031%),684498 (0.01801%),692683 (0.01196%),701974 (0.01341%),2;7;7;13;19;29
Florida,19091156 (nan%),19361792 (0.01418%),19645772 (0.01467%),19934451 (0.01469%),20278447 (0.01726%),20598139 (0.01577%),20901636 (0.01473%),21216924 (0.01508%),2;2;3;3;3;196453
Georgia,9810417 (nan%),9907756 (0.00992%),10006693 (0.00999%),10099320 (0.00926%),10201635 (0.01013%),10297484 (0.0094%),10403847 (0.01033%),10516579 (0.01084%),47;223757
Hawaii,1376298 (nan%),1392704 (0.01192%),1406299 (0.00976%),1413673 (0.00524%),1421658 (0.00565%),1422029 (0.00026%),1422094 (5e-05%),1420074 (-0.00142%),2;3;3;78893
Idaho,1583364 (nan%),1599464 (0.01017%),1616547 (0.01068%),1635483 (0.01171%),1657375 (0.01339%),1687809 (0.01836%),1717750 (0.01774%),1754367 (0.02132%),3;584789
Illinois,12848554 (nan%),12868747 (0.00157%),12873761 (0.00039%),12851684 (-0.00171%),12854526 (0.00022%),12821497 (-0.00257%),12770631 (-0.00397%),12716164 (-0.00427%),2;2;349;9109
Indiana,6514861 (nan%),6542411 (0.00423%),6568645 (0.00401%),6589578 (0.00319%),6614418 (0.00377%),6637426 (0.00348%),6665703 (0.00426%),6696893 (0.00468%),7;956699
Iowa,3062553 (nan%),3078116 (0.00508%),3093526 (0.00501%),3106589 (0.00422%),3118102 (0.00371%),3132499 (0.00462%),3139508 (0.00224%),3150011 (0.00335%),23;151;907
Kansas,2868107 (nan%),2882946 (0.00517%),2892987 (0.00348%),2898292 (0.00183%),2903820 (0.00191%),2908776 (0.00171%),2910652 (0.00064%),2912619 (0.00068%),3;97;10009
Kentucky,4361333 (nan%),4383272 (0.00503%),4397353 (0.00321%),4411989 (0.00333%),4424376 (0.00281%),4440204 (0.00358%),4449052 (0.00199%),4461952 (0.0029%),2;2;2;2;2;2;2;11;3169
